Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.96.124.156-192.168.0.11-443-52151-6,23.96.124.156,443,192.168.0.11,52151,6,16/04/2023 08:53:50 pm,15940,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,1944.7929736511921,125.47051442910916,15940.0,0.0,15940.0,15940.0,15940.0,15940.0,0.0,15940.0,15940.0,0,0,0,0,0,1,0,0,0,40,0,125.47051442910916,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,20,0,0,0,0,0,0,0,0,No Label
23.96.124.156-192.168.0.11-443-52152-6,23.96.124.156,443,192.168.0.11,52152,6,16/04/2023 08:53:50 pm,13509,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,2294.7664519949662,148.04944851580427,13509.0,0.0,13509.0,13509.0,13509.0,13509.0,0.0,13509.0,13509.0,0,0,0,0,0,1,0,0,0,40,0,148.04944851580427,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-23.96.124.156-52152-443-6,192.168.0.11,52152,23.96.124.156,443,6,16/04/2023 08:53:50 pm,615990,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,3.2468059546421206,615990.0,0.0,615990.0,615990.0,615990.0,615990.0,0.0,615990.0,615990.0,0,0,0,0,0,0,0,0,0,40,0,3.2468059546421206,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-23.96.124.156-52151-443-6,192.168.0.11,52151,23.96.124.156,443,6,16/04/2023 08:53:50 pm,820654,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,2.4370806698072514,820654.0,0.0,820654.0,820654.0,820654.0,820654.0,0.0,820654.0,820654.0,0,0,0,0,0,0,0,0,0,40,0,2.4370806698072514,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,0,0,0,0,No Label
23.96.124.156-192.168.0.11-443-52150-6,23.96.124.156,443,192.168.0.11,52150,6,16/04/2023 08:53:51 pm,11575,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,2678.185745140389,172.78617710583154,11575.0,0.0,11575.0,11575.0,11575.0,11575.0,0.0,11575.0,11575.0,0,0,0,0,0,1,0,0,0,40,0,172.78617710583154,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-23.96.124.156-52150-443-6,192.168.0.11,52150,23.96.124.156,443,6,16/04/2023 08:53:51 pm,2439576,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.8198145907321599,2439576.0,0.0,2439576.0,2439576.0,2439576.0,2439576.0,0.0,2439576.0,2439576.0,0,0,0,0,0,0,0,0,0,40,0,0.8198145907321599,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,516,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-40.126.32.132-52177-443-6,192.168.0.11,52177,40.126.32.132,443,6,16/04/2023 08:54:03 pm,817006,11,18,5001.0,18146.0,1440.0,0.0,454.6363636363636,651.1107851552257,1460.0,0.0,1008.111111111111,652.0697264131921,28331.493281567087,35.49545535773299,29178.785714285714,62650.43474494138,203453.0,0.0,817006.0,81700.6,108427.61917539481,266575.0,2.0,612884.0,36051.99999999999,64734.526681091906,193048.0,0.0,0,0,0,0,232,372,13.463793411553892,22.0316619461791,0.0,1460.0,771.5666666666665,699.1406884875537,488797.7022988506,1,2,0,6,28,0,0,0,1.0,798.1724137931035,454.6363636363636,1008.1111111111111,0,0,0,0,20,37782,0,172,0,625,64240,16379,6,20,0,0,0,0,1.68166764392595E15,240899.85572132183,1.681667644162148E15,1.68166764334582E15,No Label
140.82.121.3-192.168.0.11-443-51199-6,140.82.121.3,443,192.168.0.11,51199,6,16/04/2023 08:54:07 pm,169,2,2,63.0,0.0,39.0,24.0,31.5,10.606601717798213,0.0,0.0,0.0,0.0,372781.06508875743,23668.63905325444,56.333333333333336,62.740205078827515,125.0,2.0,2.0,2.0,0.0,2.0,2.0,125.0,125.0,0.0,125.0,125.0,1,0,0,0,40,40,11834.31952662722,11834.31952662722,0.0,39.0,20.4,19.603571103245446,384.29999999999995,1,0,0,2,4,0,0,0,1.0,25.5,31.5,0.0,0,0,0,0,0,0,0,15,0,0,169,510,1,20,0,0,0,0,1.681667647019291E15,0.0,1.681667647019291E15,1.681667647019291E15,No Label
140.82.121.3-192.168.0.11-443-51199-6,140.82.121.3,443,192.168.0.11,51199,6,16/04/2023 08:54:07 pm,85444,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.110715790459246,42722.0,60355.80641495895,85400.0,44.0,85444.0,85444.0,0.0,85444.0,85444.0,0,0,0,0,0,0,0,0,0,40,20,23.407143860306164,11.703571930153082,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,169,510,0,20,0,0,0,0,0,0,0,0,No Label
140.82.113.21-192.168.0.11-443-51987-6,140.82.113.21,443,192.168.0.11,51987,6,16/04/2023 08:54:07 pm,174,2,2,63.0,0.0,39.0,24.0,31.5,10.606601717798213,0.0,0.0,0.0,0.0,362068.9655172414,22988.505747126437,58.0,69.65629906907199,136.0,2.0,2.0,2.0,0.0,2.0,2.0,136.0,136.0,0.0,136.0,136.0,1,0,0,0,40,40,11494.252873563219,11494.252873563219,0.0,39.0,20.4,19.603571103245446,384.29999999999995,1,0,0,2,4,0,0,0,1.0,25.5,31.5,0.0,0,0,0,0,0,0,0,15,0,0,69,512,1,20,0,0,0,0,1.681667647185179E15,0.0,1.681667647185179E15,1.681667647185179E15,No Label
