Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.215.190.75-192.168.0.11-443-52094-6,23.215.190.75,443,192.168.0.11,52094,6,16/04/2023 08:55:53 pm,3,2,0,24.0,0.0,24.0,0.0,12.0,16.97056274847714,0,0,0,0,8000000.0,666666.6666666666,3.0,0.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,0,0,0,0,0,1,0,0,0,40,0,666666.6666666666,0.0,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,0.0,24.0,12.0,0.0,0,0,0,0,0,0,1,12,0,0,501,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-23.215.190.75-52094-443-6,192.168.0.11,52094,23.215.190.75,443,6,16/04/2023 08:55:53 pm,247,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,8097.165991902834,247.0,0.0,247.0,247.0,247.0,247.0,0.0,247.0,247.0,0,0,0,0,0,0,0,0,0,40,0,8097.165991902834,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,511,0,0,20,0,0,0,0,0,0,0,0,No Label
23.215.190.75-192.168.0.11-443-52117-6,23.215.190.75,443,192.168.0.11,52117,6,16/04/2023 08:55:54 pm,468,1,1,24.0,0.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,51282.05128205128,4273.504273504273,468.0,0.0,468.0,468.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,2136.7521367521367,2136.7521367521367,0.0,24.0,16.0,13.856406460551018,192.0,1,0,0,1,2,0,0,0,1.0,24.0,24.0,0.0,0,0,0,0,0,0,0,12,0,0,501,513,0,20,0,0,0,0,0,0,0,0,No Label
213.140.213.169-192.168.0.11-443-52153-6,213.140.213.169,443,192.168.0.11,52153,6,16/04/2023 08:55:54 pm,4,2,0,31.0,0.0,31.0,0.0,15.5,21.920310216782973,0,0,0,0,7750000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0,0,0,0,0,1,0,0,0,40,0,500000.0,0.0,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,0,1,2,0,0,0,0.0,31.0,15.5,0.0,0,0,0,0,0,0,1,15,0,0,501,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-213.140.213.169-52153-443-6,192.168.0.11,52153,213.140.213.169,443,6,16/04/2023 08:55:54 pm,390,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,5128.205128205128,390.0,0.0,390.0,390.0,390.0,390.0,0.0,390.0,390.0,0,0,0,0,0,0,0,0,0,40,0,5128.205128205128,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,511,0,0,20,0,0,0,0,0,0,0,0,No Label
192.168.0.11-2.18.61.18-52370-443-6,192.168.0.11,52370,2.18.61.18,443,6,16/04/2023 08:56:00 pm,642113,5,2,599.0,0.0,599.0,0.0,119.8,267.8809437044748,0.0,0.0,0.0,0.0,932.8576122894257,10.901507990026676,107018.83333333334,155514.24111947647,343475.0,19.0,642113.0,160528.25,169906.70633688947,343475.0,307.0,32895.0,32895.0,0.0,32895.0,32895.0,0,0,0,0,124,64,7.786791421447626,3.1147165685790505,0.0,599.0,74.875,211.778480965371,44850.125,1,3,0,1,6,0,0,0,0.0,85.57142857142857,119.8,0.0,0,0,0,0,0,0,0,85,0,0,64240,64240,1,20,0,0,0,0,1.6816677606032162E15,139206.01398257428,1.681667760693893E15,1.681667760395655E15,No Label
192.168.0.11-2.18.61.18-52371-443-6,192.168.0.11,52371,2.18.61.18,443,6,16/04/2023 08:56:00 pm,386039,4,1,599.0,0.0,599.0,0.0,149.75,299.5,0.0,0.0,0.0,0.0,1551.6566978983988,12.952059247899824,96509.75,121707.34533400192,253568.0,116.0,386039.0,128679.66666666666,126589.47836346168,253568.0,455.0,0,0,0,0,0,0,0,0,0,92,32,10.361647398319858,2.5904118495799646,0.0,599.0,99.83333333333333,244.54072598785393,59800.166666666664,1,2,0,1,4,0,0,0,0.0,119.8,149.75,0.0,0,0,0,0,0,0,0,119,0,0,64240,64240,1,20,0,0,0,0,1.6816677607179305E15,93507.09363732785,1.68166776078405E15,1.681667760651811E15,No Label
192.168.0.11-2.18.61.18-52372-443-6,192.168.0.11,52372,2.18.61.18,443,6,16/04/2023 08:56:00 pm,339381,6,7,517.0,5556.0,517.0,0.0,86.16666666666667,211.0643661698172,1460.0,0.0,793.7142857142857,749.2106322180508,17894.342936110155,38.30503180790911,28281.75,56545.22748951417,190989.0,1.0,339381.0,67876.2,74304.13060321748,191092.0,399.0,105543.0,17590.5,30627.21007698873,78014.0,1.0,0,0,0,0,144,164,17.679245449804203,20.625786358104904,0.0,1460.0,433.7857142857143,645.1406738154005,416206.489010989,1,3,0,3,12,0,0,0,1.0,467.15384615384613,86.16666666666667,793.7142857142857,0,0,0,0,5,57815,0,39,0,427,64240,501,1,20,0,0,0,0,1.6816677609379815E15,93590.53349722925,1.681667760995027E15,1.681667760698481E15,No Label
192.168.0.11-2.18.61.18-52374-443-6,192.168.0.11,52374,2.18.61.18,443,6,16/04/2023 08:56:00 pm,278693,6,6,517.0,5556.0,517.0,0.0,86.16666666666667,211.0643661698172,1460.0,0.0,926.0,725.6610779144766,21791.00300330471,43.0581320664674,25335.727272727276,45295.452511462805,130952.0,1.0,278693.0,55738.6,56956.82526967247,131007.0,187.0,104874.0,20974.8,40183.98724243277,92632.0,1.0,0,0,0,0,132,132,21.5290660332337,21.5290660332337,0.0,1460.0,467.1538461538462,658.7892741175343,434003.30769230775,1,2,0,3,11,0,0,0,1.0,506.0833333333333,86.16666666666667,926.0,0,0,0,0,5,58041,0,43,0,463,64240,501,1,20,0,0,0,0,1.6816677609408332E15,79563.83110007661,1.681667760994831E15,1.681667760759141E15,No Label
192.168.0.11-2.18.61.18-52375-443-6,192.168.0.11,52375,2.18.61.18,443,6,16/04/2023 08:56:00 pm,263450,5,6,517.0,5556.0,517.0,0.0,103.4,231.2094288734783,1460.0,0.0,926.0,725.6610779144766,23051.812488138166,41.75365344467641,26345.000000000004,45603.854113440895,119065.0,2.0,263450.0,65862.5,58244.779688827046,119133.0,137.0,110579.0,22115.8,44551.85774128841,101503.0,2.0,0,0,0,0,112,132,18.978933383943822,22.774720060732584,0.0,1460.0,506.08333333333326,672.2838224134118,451965.53787878784,1,2,0,3,10,0,0,0,1.0,552.0909090909091,103.4,926.0,0,0,0,0,5,55022,0,47,0,505,64240,501,1,20,0,0,0,0,1.6816677609454172E15,84347.07469758824,1.681667761004063E15,1.681667760774418E15,No Label
